2024-05-19 20:24:39.296 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——LH; rolling_period——52; C——0.1; penalty——l1               Sharpe: 1.9500377108475004
2024-05-19 20:24:41.679 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——LH; rolling_period——52; C——0.1; penalty——l2               Sharpe: 0.5790179528932289
2024-05-19 20:24:44.025 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——LH; rolling_period——52; C——0.5; penalty——l1               Sharpe: 0.7684585957942944
2024-05-19 20:24:46.366 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——LH; rolling_period——52; C——0.5; penalty——l2               Sharpe: 0.47497710667777604
2024-05-19 20:24:48.716 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——LH; rolling_period——52; C——1; penalty——l1               Sharpe: 0.5093768783277741
2024-05-19 20:24:51.074 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——LH; rolling_period——52; C——1; penalty——l2               Sharpe: 0.4430404681092646
2024-05-19 20:24:53.411 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——LH; rolling_period——52; C——5; penalty——l1               Sharpe: 0.4127465894952716
2024-05-19 20:24:55.810 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——LH; rolling_period——52; C——5; penalty——l2               Sharpe: 0.3955547959226717
2024-05-19 20:24:58.242 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——LH; rolling_period——52; C——10; penalty——l1               Sharpe: 0.34480597153264353
2024-05-19 20:25:00.695 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——LH; rolling_period——52; C——10; penalty——l2               Sharpe: 0.47497710667777615
2024-05-19 20:25:03.108 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——LH; rolling_period——52; C——50; penalty——l1               Sharpe: 0.36199382607372754
2024-05-19 20:25:05.522 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——LH; rolling_period——52; C——50; penalty——l2               Sharpe: 0.3857315433980214
2024-05-19 20:25:07.939 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——LH; rolling_period——104; C——0.1; penalty——l1               Sharpe: 1.8047270379799574
2024-05-19 20:25:10.365 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——LH; rolling_period——104; C——0.1; penalty——l2               Sharpe: 0.4340336886455717
2024-05-19 20:25:12.777 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——LH; rolling_period——104; C——0.5; penalty——l1               Sharpe: 0.46433093816530946
2024-05-19 20:25:15.200 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——LH; rolling_period——104; C——0.5; penalty——l2               Sharpe: 0.49217612501059754
2024-05-19 20:25:17.614 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——LH; rolling_period——104; C——1; penalty——l1               Sharpe: 0.19016265226243842
