,code,ts_mome,sharpe,ts_rule_mome,open_interest
0,A,180.0,0.2658341313168095,,
1,A,,0.3461868965520746,"(60, 240)",
2,A,,0.0876925022908726,,180.0
3,AG,60.0,0.23583126381814276,,
4,AG,,0.3059122885356969,"(20, 60)",
5,AG,,0.752743643900265,,1.0
6,AL,20.0,0.639818855068668,,
7,AL,,0.5384343877395327,"(5, 20)",
8,AL,,0.05633530506291536,,180.0
9,AP,20.0,1.051506479851902,,
10,AP,,0.5924111984533212,"(20, 60)",
11,AP,,-0.1874391738322136,,240.0
12,AU,240.0,0.25962170901620113,,
13,AU,,0.412096956595588,"(20, 60)",
14,AU,,0.5632108360497173,,60.0
15,B,180.0,0.19359433882402635,,
16,B,,0.20259216234033964,"(5, 20)",
17,B,,0.08336338328594005,,20.0
18,BB,20.0,1.3338655783651308,,
19,BB,,1.077222945493478,"(60, 240)",
20,BB,,1.2431566697891068,,60.0
21,BC,60.0,0.14076367736246767,,
22,BC,,-0.12346263396776402,"(20, 60)",
23,BC,,-0.3491552433510824,,60.0
24,BU,240.0,0.3896750132353435,,
25,BU,,0.4343802605826015,"(5, 20)",
26,BU,,-0.04316627230387286,,20.0
27,C,20.0,0.6609217569294776,,
28,C,,0.6209845464930875,"(5, 20)",
29,C,,0.37237635052459395,,20.0
30,CF,60.0,0.6288219151560658,,
31,CF,,0.7593261930830262,"(5, 20)",
32,CF,,0.19551445497438824,,240.0
33,CJ,240.0,0.5823172377967345,,
34,CJ,,0.4498721817350256,"(20, 60)",
35,CJ,,0.5179199646408095,,60.0
36,CS,60.0,-0.08021367080111597,,
37,CS,,0.05577652711899645,"(5, 20)",
38,CS,,0.18889116589146293,,180.0
39,CU,20.0,0.6504139362134138,,
40,CU,,0.5388985585094699,"(20, 60)",
41,CU,,0.19052847096021155,,60.0
42,CY,20.0,0.37350313309033023,,
43,CY,,0.40623288577284905,"(5, 20)",
44,CY,,0.1928569763425764,,60.0
45,EB,20.0,0.05550143524237671,,
46,EB,,0.45771768223897785,"(5, 20)",
47,EB,,0.6389270408325145,,240.0
48,EG,180.0,0.09148340442138743,,
49,EG,,0.28303609496981896,"(5, 20)",
50,EG,,0.5682797436561232,,20.0
51,FB,240.0,1.847395200801224,,
52,FB,,1.617215621635964,"(60, 240)",
53,FB,,0.5196346441574948,,60.0
54,FG,20.0,0.29794964044205335,,
55,FG,,0.2220425262623538,"(5, 20)",
56,FG,,0.5773807722137663,,180.0
57,FU,20.0,0.16233129278645464,,
58,FU,,0.39873566724583526,"(5, 20)",
59,FU,,0.24270192818428568,,240.0
60,HC,60.0,0.9221388681074809,,
61,HC,,0.5425569817328609,"(5, 20)",
62,HC,,0.9295194437047243,,60.0
63,I,240.0,0.39716673809352254,,
64,I,,0.47529386962184367,"(20, 60)",
65,I,,0.15776287843161024,,60.0
66,IC,20.0,0.34758711352000987,,
67,IC,,0.21530750978989574,"(60, 240)",
68,IC,,0.5189381608898862,,60.0
69,IF,240.0,0.3568720614572763,,
70,IF,,0.12052182870835376,"(5, 20)",
71,IF,,0.4192695631427219,,240.0
72,IH,180.0,0.13462344690470954,,
73,IH,,0.25122166995793804,"(60, 240)",
74,IH,,0.21815151652538464,,240.0
75,IM,20.0,-0.048577194514686145,,
76,IM,,-0.02179141446249803,"(60, 240)",
77,IM,,2.323790373219554,,1.0
78,J,240.0,0.6566983875085971,,
79,J,,0.6379036637164627,"(60, 240)",
80,J,,0.32500175481789667,,240.0
81,JD,60.0,-0.0588588533965071,,
82,JD,,0.12637201394625122,"(5, 20)",
83,JD,,0.1462592389704966,,1.0
84,JM,20.0,0.3873372052065438,,
85,JM,,0.3588544709084095,"(5, 20)",
86,JM,,0.6778164971963504,,240.0
87,JR,240.0,0.32154508648290475,,
88,JR,,0.3965305085845488,"(60, 240)",
89,JR,,0.5198021912958298,,20.0
90,L,20.0,0.17003924592657865,,
91,L,,0.22764133701438083,"(20, 60)",
92,L,,0.2299345081431818,,180.0
93,LH,20.0,1.2098187910474505,,
94,LH,,1.4184505661298952,"(5, 20)",
95,LH,,0.9061550502023329,,1.0
96,LR,20.0,0.23719673283424614,,
97,LR,,0.3175015506507876,"(5, 20)",
98,LR,,0.1007721820965489,,1.0
99,LU,180.0,0.7725431281962604,,
100,LU,,0.5192644545311668,"(60, 240)",
101,LU,,-0.28211821252642133,,20.0
102,M,20.0,0.3018207767402985,,
103,M,,0.5361448626470903,"(5, 20)",
104,M,,0.18399074045777233,,240.0
105,MA,20.0,0.14607617259559497,,
106,MA,,0.44531333904361464,"(5, 20)",
107,MA,,-0.1531465205263853,,240.0
108,NI,60.0,0.4126429424595765,,
109,NI,,0.5478473403145969,"(20, 60)",
110,NI,,0.34647841691376213,,180.0
111,NR,60.0,-0.27158983652537283,,
112,NR,,-0.012048058197180848,"(60, 240)",
113,NR,,-0.050877410233104346,,240.0
114,OI,20.0,0.40474377125809247,,
115,OI,,0.4656208771308878,"(20, 60)",
116,OI,,0.04646112074693414,,1.0
117,P,60.0,0.6467369023288586,,
118,P,,0.5490909307803694,"(5, 20)",
119,P,,0.00023333627534576583,,240.0
120,PB,240.0,0.05002071223625316,,
121,PB,,0.12636944894401375,"(60, 240)",
122,PB,,0.23696837656938163,,1.0
123,PF,20.0,0.07842528486868124,,
124,PF,,-0.4930370992850549,"(5, 20)",
125,PF,,1.0054050858846002,,240.0
126,PG,20.0,0.43269068235569996,,
127,PG,,0.006202871605921547,"(60, 240)",
128,PG,,0.48597457166947705,,20.0
129,PK,20.0,0.16020605426567203,,
130,PK,,0.2540742762554905,"(5, 20)",
131,PK,,-0.17481073659468396,,240.0
132,PM,240.0,-0.32042252193061843,,
133,PM,,-0.20155952918874911,"(20, 60)",
134,PM,,0.3190284496731193,,1.0
135,PP,60.0,0.3474128294364906,,
136,PP,,0.12456293285961456,"(5, 20)",
137,PP,,0.3238212482721711,,20.0
138,RB,240.0,0.6016382709374432,,
139,RB,,0.686210927733953,"(5, 20)",
140,RB,,0.28418624259497316,,60.0
141,RI,180.0,0.10649741429689416,,
142,RI,,0.13328975277733568,"(5, 20)",
143,RI,,0.029394288252245607,,180.0
144,RM,180.0,0.010103736216254041,,
145,RM,,-0.022220522268832973,"(20, 60)",
146,RM,,0.44450981317976934,,60.0
147,RR,240.0,1.3057942263615872,,
148,RR,,1.2336611350688576,"(60, 240)",
149,RR,,0.48901779569153453,,60.0
150,RS,240.0,0.3595631249892668,,
151,RS,,0.4640604576094239,"(60, 240)",
152,RS,,-0.022054914892782454,,20.0
153,RU,20.0,0.6954443637695922,,
154,RU,,0.5675776054182181,"(5, 20)",
155,RU,,0.2781988209745005,,240.0
156,SA,20.0,0.28579555138226836,,
157,SA,,0.6073789377907556,"(5, 20)",
158,SA,,0.4672465886926804,,240.0
159,SC,180.0,0.43127904439676207,,
160,SC,,0.18429248520142333,"(5, 20)",
161,SC,,0.09275327368307254,,60.0
162,SF,20.0,0.1859746841597502,,
163,SF,,0.3424961534383269,"(5, 20)",
164,SF,,0.9413009881373731,,180.0
165,SI,60.0,3.116680717787549,,
166,SI,,1.9294759169904079,"(20, 60)",
167,SI,,0.14771107421969668,,1.0
168,SM,180.0,0.3252523383200791,,
169,SM,,0.3470131240689332,"(60, 240)",
170,SM,,1.0804555023452886,,240.0
171,SN,20.0,0.6015337994042721,,
172,SN,,1.0654396492622473,"(20, 60)",
173,SN,,0.9233588936756603,,240.0
174,SP,240.0,0.6969102826614326,,
175,SP,,0.4966543552536777,"(5, 20)",
176,SP,,1.3684233677268944,,240.0
177,SR,20.0,0.35697830909247663,,
178,SR,,0.24080471157499897,"(60, 240)",
179,SR,,0.25801412847193816,,180.0
180,SS,20.0,0.5990290622607887,,
181,SS,,0.4295832542591156,"(20, 60)",
182,SS,,0.3603294811983734,,1.0
183,T,60.0,0.45075849591041206,,
184,T,,0.3268753447445093,"(20, 60)",
185,T,,0.3580056707073398,,180.0
186,TA,20.0,0.9233649054022253,,
187,TA,,0.6769050456806573,"(5, 20)",
188,TA,,0.2856030866251715,,180.0
189,TF,20.0,0.3249668064336628,,
190,TF,,0.4127813848349846,"(20, 60)",
191,TF,,0.38460780681690276,,20.0
192,TS,180.0,0.7760056343538202,,
193,TS,,0.8023843405237508,"(5, 20)",
194,TS,,0.9185140029010314,,180.0
195,UR,240.0,0.6553315022896904,,
196,UR,,0.30513850940903353,"(5, 20)",
197,UR,,0.9426947219081586,,240.0
198,V,180.0,0.3650156379558041,,
199,V,,0.25451783992687665,"(20, 60)",
200,V,,0.6096549096560682,,60.0
201,WH,20.0,0.17543892599248043,,
202,WH,,0.09048798829304297,"(5, 20)",
203,WH,,0.39476235802843446,,20.0
204,WR,240.0,0.5276169261993635,,
205,WR,,0.3568890322900198,"(20, 60)",
206,WR,,0.3601173974789306,,60.0
207,Y,20.0,0.5109528678953625,,
208,Y,,0.3689139458411876,"(5, 20)",
209,Y,,0.12448905586066308,,240.0
